"","region","Incidence_rate","Mortality_rate","avg_phy_rate_categorical_5","avg_dom_spend_categorical_6","avg_gdp_categorical_4","Operational_Policy"
"185","United Kingdom",664.2,265.4,"3-4","15-20","10-15","Yes"
"186","United States of America",710.9,180.9,"3-4","20-25","15+","Yes"
"187","Uruguay",481,256.9,"4+","20-25","5-10","No"
"188","Uzbekistan",104.4,64.2,NA,"5-10","5-10","Yes"
"189","Vanuatu",77.7,46.9,"0-1","5-10","0-5","Yes"
"190","Venezuela",215.1,108.4,"1-2","0-5","0-5","No"
"191","Vietnam",182.4,121.5,"0-1","5-10","0-5","Yes"
"192","Yemen",53,38.1,NA,"0-5","0-5","No"
"193","Zambia",78.6,50.2,"0-1","5-10","5-10","Yes"
"194","Zimbabwe",115.6,76.6,"0-1","5-10","0-5","Yes"
"195","Cape Verde",76.6,50.2,NA,NA,NA,NA
"196","French Guiana",187.5,74.2,NA,NA,NA,NA
"197","French Polynesia",308.6,169.3,NA,NA,NA,NA
"198","Guadeloupe",531,238.1,NA,NA,NA,NA
"199","Guam",240.2,155.7,NA,NA,NA,NA
"200","Martinique",549.9,236.9,NA,NA,NA,NA
"201","New Caledonia",395,160.5,NA,NA,NA,NA
"202","Puerto Rico",486.9,204.8,NA,NA,NA,NA
"203","Reunion",332,174,NA,NA,NA,NA
"204","Somalia",63.4,47.7,NA,NA,NA,"No"
